,Sample,Study,Expression,Sample Type,Disease/Tissue,Study/Sample Type
10376,GTEX-1399S-1226-SM-5J1O6,GTEX,12.69,Normal Tissue,Esophagus,GTEX: Normal Tissue
10379,GTEX-QMRM-0005-SM-3NB2A,GTEX,7.97,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10381,GTEX-Z9EW-0326-SM-5CVM8,GTEX,11.5,Normal Tissue,Esophagus,GTEX: Normal Tissue
10382,GTEX-U3ZH-0008-SM-4DXT2,GTEX,11.39,Cell Line,Cells,GTEX: Cell Line
10384,GTEX-Y8E4-1526-SM-4WWDI,GTEX,11.85,Normal Tissue,Stomach,GTEX: Normal Tissue
10385,GTEX-XYKS-1226-SM-4BRVI,GTEX,12.38,Normal Tissue,Pancreas,GTEX: Normal Tissue
10387,GTEX-SJXC-0526-SM-2XCFG,GTEX,10.68,Normal Tissue,Muscle,GTEX: Normal Tissue
10388,GTEX-13OVG-0326-SM-5KM57,GTEX,12.12,Normal Tissue,Lung,GTEX: Normal Tissue
10390,GTEX-113JC-0726-SM-5GZZR,GTEX,10.85,Normal Tissue,Adipose,GTEX: Normal Tissue
10391,GTEX-11TUW-2026-SM-5EQL8,GTEX,11.25,Normal Tissue,Colon,GTEX: Normal Tissue
10392,GTEX-14DAR-1926-SM-5S2NQ,GTEX,9.408,Normal Tissue,Adipose,GTEX: Normal Tissue
10398,GTEX-14A5I-0326-SM-5NQ9J,GTEX,10.85,Normal Tissue,Muscle,GTEX: Normal Tissue
10399,GTEX-11GS4-2026-SM-5N9CP,GTEX,11.29,Normal Tissue,Testis,GTEX: Normal Tissue
10400,GTEX-11XUK-0426-SM-5EQML,GTEX,9.3,Normal Tissue,Spleen,GTEX: Normal Tissue
10403,GTEX-14BIM-0011-R5b-SM-5S2RM,GTEX,10.46,Normal Tissue,Brain,GTEX: Normal Tissue
10406,GTEX-14BMU-0126-SM-5S2Q9,GTEX,9.168,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
10407,GTEX-ZZPU-2226-SM-5EGIV,GTEX,13.42,Normal Tissue,Vagina,GTEX: Normal Tissue
10408,GTEX-ZF28-0011-R7a-SM-4WKF5,GTEX,11.18,Normal Tissue,Brain,GTEX: Normal Tissue
10411,GTEX-14A6H-1326-SM-5NQBC,GTEX,14.4,Normal Tissue,Esophagus,GTEX: Normal Tissue
10414,GTEX-X5EB-0004-SM-46MWA,GTEX,8.901,Cell Line,Cells,GTEX: Cell Line
10417,GTEX-RTLS-0426-SM-2TF5K,GTEX,12.43,Normal Tissue,Artery,GTEX: Normal Tissue
10422,GTEX-12KS4-0005-SM-5SI94,GTEX,8.461,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10423,GTEX-Z93S-2626-SM-57WBX,GTEX,11.89,Normal Tissue,Colon,GTEX: Normal Tissue
10428,GTEX-12WSA-0226-SM-5BC5V,GTEX,13.42,Normal Tissue,Skin,GTEX: Normal Tissue
10433,GTEX-PWCY-0526-SM-2I3ER,GTEX,12.58,Normal Tissue,Heart,GTEX: Normal Tissue
10434,GTEX-Y114-0626-SM-4TT98,GTEX,12.66,Normal Tissue,Thyroid,GTEX: Normal Tissue
10436,GTEX-UTHO-0011-R10A-SM-3GIJQ,GTEX,7.327,Normal Tissue,Brain,GTEX: Normal Tissue
10437,GTEX-13O3O-2726-SM-5KM35,GTEX,11.77,Normal Tissue,Ovary,GTEX: Normal Tissue
10442,GTEX-WWYW-2826-SM-4MVOQ,GTEX,11.58,Normal Tissue,Uterus,GTEX: Normal Tissue
10444,GTEX-11ZTT-0926-SM-5EQMS,GTEX,11.71,Normal Tissue,Esophagus,GTEX: Normal Tissue
10446,GTEX-WI4N-0926-SM-3LK7K,GTEX,11.45,Normal Tissue,Thyroid,GTEX: Normal Tissue
10447,GTEX-1339X-1726-SM-5P9J9,GTEX,11.45,Normal Tissue,Colon,GTEX: Normal Tissue
10449,GTEX-XYKS-0426-SM-4BRW4,GTEX,12.1,Normal Tissue,Artery,GTEX: Normal Tissue
10451,GTEX-ZF3C-0226-SM-4WWB3,GTEX,9.68,Normal Tissue,Adipose,GTEX: Normal Tissue
10453,GTEX-13FHO-0011-R11b-SM-5LZYQ,GTEX,9.073,Normal Tissue,Brain,GTEX: Normal Tissue
10456,GTEX-12WSI-2126-SM-5GCMV,GTEX,11.36,Normal Tissue,Testis,GTEX: Normal Tissue
10457,GTEX-13N11-2726-SM-5L3ER,GTEX,10.76,Normal Tissue,Muscle,GTEX: Normal Tissue
10459,GTEX-117YX-1126-SM-5H128,GTEX,12.38,Normal Tissue,Heart,GTEX: Normal Tissue
10460,GTEX-11DXX-2526-SM-5H119,GTEX,12.92,Normal Tissue,Nerve,GTEX: Normal Tissue
10462,GTEX-WI4N-0008-SM-4OOSV,GTEX,11.84,Cell Line,Cells,GTEX: Cell Line
10463,GTEX-11LCK-1026-SM-5A5KB,GTEX,13.01,Normal Tissue,Skin,GTEX: Normal Tissue
10466,GTEX-Y5V5-0226-SM-5S2N8,GTEX,10.36,Normal Tissue,Adipose,GTEX: Normal Tissue
10468,GTEX-11DXX-1526-SM-5H115,GTEX,11.75,Normal Tissue,Uterus,GTEX: Normal Tissue
10471,GTEX-WFON-0426-SM-3GIL4,GTEX,12.1,Normal Tissue,Lung,GTEX: Normal Tissue
10476,GTEX-X88G-0004-SM-47JZ6,GTEX,8.571,Cell Line,Cells,GTEX: Cell Line
10477,GTEX-11NSD-1826-SM-5N9CF,GTEX,13.06,Normal Tissue,Nerve,GTEX: Normal Tissue
10480,GTEX-XYKS-1326-SM-4BRUN,GTEX,11.41,Normal Tissue,Breast,GTEX: Normal Tissue
10481,GTEX-OHPM-0526-SM-2YUMJ,GTEX,12.05,Normal Tissue,Lung,GTEX: Normal Tissue
10482,GTEX-ZLWG-0426-SM-4WWFA,GTEX,10.24,Normal Tissue,Spleen,GTEX: Normal Tissue
10486,GTEX-WZTO-0126-SM-3NM95,GTEX,13.54,Normal Tissue,Skin,GTEX: Normal Tissue
10490,GTEX-ZYFC-1626-SM-5N9EU,GTEX,12.75,Normal Tissue,Esophagus,GTEX: Normal Tissue
10492,GTEX-WQUQ-0006-SM-3MJF4,GTEX,11.14,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10493,GTEX-13VXU-0006-SM-5N9FF,GTEX,9.913,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10494,GTEX-ZTPG-2626-SM-57WFX,GTEX,12.98,Normal Tissue,Small Intestine,GTEX: Normal Tissue
10495,GTEX-Y3I4-1426-SM-4TT9C,GTEX,11.01,Normal Tissue,Colon,GTEX: Normal Tissue
10497,GTEX-12WSK-0626-SM-5LZUJ,GTEX,12.38,Normal Tissue,Heart,GTEX: Normal Tissue
10501,GTEX-XPT6-0226-SM-4B65L,GTEX,12.64,Normal Tissue,Heart,GTEX: Normal Tissue
10502,GTEX-RNOR-0011-R9A-SM-2TF52,GTEX,9.596,Normal Tissue,Brain,GTEX: Normal Tissue
10503,GTEX-12ZZX-0011-R6a-SM-5HL8L,GTEX,10.24,Normal Tissue,Brain,GTEX: Normal Tissue
10505,GTEX-Y8E5-0326-SM-57WBM,GTEX,12.03,Normal Tissue,Muscle,GTEX: Normal Tissue
10508,GTEX-145ME-1726-SM-5Q5EU,GTEX,13.09,Normal Tissue,Skin,GTEX: Normal Tissue
10510,GTEX-Q2AH-1826-SM-2S1Q2,GTEX,11.57,Normal Tissue,Muscle,GTEX: Normal Tissue
10511,GTEX-12WSK-0006-SM-5NQA1,GTEX,7.662,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10515,GTEX-NPJ8-1526-SM-26GMY,GTEX,8.952,Normal Tissue,Brain,GTEX: Normal Tissue
10518,GTEX-ZWKS-0126-SM-5SIAA,GTEX,14.07,Normal Tissue,Skin,GTEX: Normal Tissue
10519,GTEX-13FHO-2826-SM-5K7ZA,GTEX,12.92,Normal Tissue,Prostate,GTEX: Normal Tissue
10520,GTEX-145LS-0126-SM-5QGP1,GTEX,13.16,Normal Tissue,Skin,GTEX: Normal Tissue
10521,GTEX-ZDXO-0226-SM-4WKH7,GTEX,13.35,Normal Tissue,Kidney,GTEX: Normal Tissue
10522,GTEX-11EMC-2626-SM-59864,GTEX,11.29,Normal Tissue,Muscle,GTEX: Normal Tissue
10524,GTEX-144GN-0626-SM-5O9B2,GTEX,13.52,Normal Tissue,Esophagus,GTEX: Normal Tissue
10525,GTEX-147F3-1926-SM-5SIB9,GTEX,12.95,Normal Tissue,Colon,GTEX: Normal Tissue
10526,GTEX-ZAJG-1626-SM-5HL7I,GTEX,11.49,Normal Tissue,Adipose,GTEX: Normal Tissue
10527,GTEX-13O21-0726-SM-5L3EG,GTEX,11.66,Normal Tissue,Esophagus,GTEX: Normal Tissue
10528,GTEX-11DYG-0426-SM-5987J,GTEX,13.44,Normal Tissue,Nerve,GTEX: Normal Tissue
10530,GTEX-RN64-0126-SM-2TC68,GTEX,13.15,Normal Tissue,Skin,GTEX: Normal Tissue
10532,GTEX-13W3W-1726-SM-5LU4A,GTEX,11.47,Normal Tissue,Esophagus,GTEX: Normal Tissue
10533,GTEX-XBED-0926-SM-48TCE,GTEX,11.45,Normal Tissue,Esophagus,GTEX: Normal Tissue
10535,GTEX-11P7K-1526-SM-5EGI7,GTEX,13.5,Normal Tissue,Colon,GTEX: Normal Tissue
10537,GTEX-WZTO-0006-SM-3NM9T,GTEX,9.963,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10538,GTEX-YFC4-2826-SM-5P9FR,GTEX,11.89,Normal Tissue,Uterus,GTEX: Normal Tissue
10539,GTEX-14H4A-0006-SM-5N9E3,GTEX,7.628,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10540,GTEX-WVLH-0011-R10A-SM-3MJFM,GTEX,8.428,Normal Tissue,Brain,GTEX: Normal Tissue
10541,GTEX-ZYFC-2226-SM-5NQ96,GTEX,11.93,Normal Tissue,Esophagus,GTEX: Normal Tissue
10555,GTEX-PWCY-2126-SM-48TEC,GTEX,12.0,Normal Tissue,Nerve,GTEX: Normal Tissue
10556,GTEX-12BJ1-1426-SM-5BC5Q,GTEX,10.64,Normal Tissue,Esophagus,GTEX: Normal Tissue
10564,GTEX-13111-0005-SM-5NQ7Z,GTEX,7.524,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10573,GTEX-13OVI-2426-SM-5KM4J,GTEX,11.71,Normal Tissue,Stomach,GTEX: Normal Tissue
10576,GTEX-12WSH-0008-SM-5S2V1,GTEX,11.37,Cell Line,Cells,GTEX: Cell Line
10577,GTEX-X4EO-2426-SM-4QASD,GTEX,11.21,Normal Tissue,Ovary,GTEX: Normal Tissue
10579,GTEX-ZF3C-1026-SM-5S2OC,GTEX,10.84,Normal Tissue,Adipose,GTEX: Normal Tissue
10585,GTEX-ZVTK-0826-SM-5GZXI,GTEX,12.93,Normal Tissue,Nerve,GTEX: Normal Tissue
10586,GTEX-13G51-0011-R1a-SM-5LZYR,GTEX,10.46,Normal Tissue,Brain,GTEX: Normal Tissue
10589,GTEX-OXRP-0526-SM-2I3EW,GTEX,12.13,Normal Tissue,Lung,GTEX: Normal Tissue
10596,GTEX-11VI4-0626-SM-5EQLO,GTEX,11.52,Normal Tissue,Esophagus,GTEX: Normal Tissue
10597,GTEX-146FR-0626-SM-5RQJ1,GTEX,12.17,Normal Tissue,Heart,GTEX: Normal Tissue
10599,GTEX-QEG5-0926-SM-2TC64,GTEX,13.01,Normal Tissue,Heart,GTEX: Normal Tissue
10603,GTEX-13OW6-0011-R11a-SM-5L3H2,GTEX,7.838,Normal Tissue,Brain,GTEX: Normal Tissue
10604,GTEX-P4PP-0426-SM-3NM9H,GTEX,12.73,Normal Tissue,Artery,GTEX: Normal Tissue
10605,GTEX-ZVP2-0126-SM-5NQ7D,GTEX,8.863,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
10610,GTEX-13N2G-2726-SM-5J1MG,GTEX,10.02,Normal Tissue,Adipose,GTEX: Normal Tissue
10612,GTEX-XOTO-0011-R6B-SM-4B65X,GTEX,9.734,Normal Tissue,Brain,GTEX: Normal Tissue
10614,GTEX-145LS-0526-SM-5LU8Y,GTEX,11.22,Normal Tissue,Muscle,GTEX: Normal Tissue
10617,GTEX-12ZZY-0326-SM-5LZVQ,GTEX,10.51,Normal Tissue,Adipose,GTEX: Normal Tissue
10619,GTEX-144FL-1526-SM-5Q5CA,GTEX,12.78,Normal Tissue,Pancreas,GTEX: Normal Tissue
10621,GTEX-11NV4-1426-SM-5BC4W,GTEX,11.49,Normal Tissue,Adipose,GTEX: Normal Tissue
10622,GTEX-S95S-1326-SM-2XCDK,GTEX,10.05,Normal Tissue,Adipose,GTEX: Normal Tissue
10625,GTEX-11ZVC-0011-R1b-SM-5BC6M,GTEX,10.58,Normal Tissue,Brain,GTEX: Normal Tissue
10626,GTEX-ZVT2-1526-SM-51MQZ,GTEX,10.83,Normal Tissue,Esophagus,GTEX: Normal Tissue
10629,GTEX-WVLH-0006-SM-3MJF7,GTEX,8.354,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10635,GTEX-WWYW-3026-SM-3NB36,GTEX,9.064,Normal Tissue,Brain,GTEX: Normal Tissue
10640,GTEX-13FHO-1226-SM-5L3EF,GTEX,12.88,Normal Tissue,Heart,GTEX: Normal Tissue
10643,GTEX-R53T-0426-SM-48FEM,GTEX,11.96,Normal Tissue,Pancreas,GTEX: Normal Tissue
10644,GTEX-146FH-1926-SM-5Q5B2,GTEX,11.83,Normal Tissue,Esophagus,GTEX: Normal Tissue
10646,GTEX-13RTJ-0011-R9a-SM-5Q5AY,GTEX,9.223,Normal Tissue,Brain,GTEX: Normal Tissue
10648,GTEX-T2IS-0926-SM-4DM5B,GTEX,11.84,Normal Tissue,Esophagus,GTEX: Normal Tissue
10649,GTEX-13NYS-0011-R1b-SM-5MR55,GTEX,10.36,Normal Tissue,Brain,GTEX: Normal Tissue
10650,GTEX-S32W-0626-SM-2XCBG,GTEX,12.18,Normal Tissue,Heart,GTEX: Normal Tissue
10652,GTEX-NPJ7-0011-R9a-SM-2TC5R,GTEX,9.401,Normal Tissue,Brain,GTEX: Normal Tissue
10653,GTEX-U3ZH-1126-SM-4DXUG,GTEX,11.77,Normal Tissue,Esophagus,GTEX: Normal Tissue
10655,GTEX-OHPN-0011-R8A-SM-33HBT,GTEX,9.059,Normal Tissue,Brain,GTEX: Normal Tissue
10658,GTEX-Y8LW-1226-SM-4WWDP,GTEX,11.45,Normal Tissue,Colon,GTEX: Normal Tissue
10659,GTEX-145MG-3026-SM-5RQJA,GTEX,9.623,Normal Tissue,Brain,GTEX: Normal Tissue
10661,GTEX-13CF3-1126-SM-5LZXB,GTEX,9.76,Normal Tissue,Adipose,GTEX: Normal Tissue
10664,GTEX-XUJ4-0626-SM-4BOOO,GTEX,12.93,Normal Tissue,Heart,GTEX: Normal Tissue
10667,GTEX-WI4N-1426-SM-3LK7H,GTEX,11.76,Normal Tissue,Breast,GTEX: Normal Tissue
10671,GTEX-146FQ-0426-SM-5NQBA,GTEX,13.67,Normal Tissue,Nerve,GTEX: Normal Tissue
10673,GTEX-S95S-0226-SM-4B656,GTEX,12.51,Normal Tissue,Artery,GTEX: Normal Tissue
10676,GTEX-13VXU-3026-SM-5LU3K,GTEX,8.201,Normal Tissue,Brain,GTEX: Normal Tissue
10678,GTEX-OHPL-2026-SM-3TW8R,GTEX,11.85,Normal Tissue,Uterus,GTEX: Normal Tissue
10680,GTEX-OHPL-0526-SM-4M1XS,GTEX,11.66,Normal Tissue,Lung,GTEX: Normal Tissue
10683,GTEX-VUSG-0003-SM-3NMDK,GTEX,8.847,Cell Line,Cells,GTEX: Cell Line
10686,GTEX-13VXT-0426-SM-5LU57,GTEX,13.04,Normal Tissue,Nerve,GTEX: Normal Tissue
10687,GTEX-12WS9-0726-SM-5FQT7,GTEX,13.24,Normal Tissue,Thyroid,GTEX: Normal Tissue
10688,GTEX-P4QT-0126-SM-2I3FL,GTEX,14.39,Normal Tissue,Skin,GTEX: Normal Tissue
10691,GTEX-13FH7-0426-SM-5KM4M,GTEX,11.83,Normal Tissue,Artery,GTEX: Normal Tissue
10694,GTEX-RM2N-1926-SM-48FCU,GTEX,9.606,Normal Tissue,Liver,GTEX: Normal Tissue
10709,GTEX-QDVJ-1226-SM-48U1V,GTEX,12.48,Normal Tissue,Pancreas,GTEX: Normal Tissue
10710,GTEX-RU72-0626-SM-46MUI,GTEX,12.49,Normal Tissue,Breast,GTEX: Normal Tissue
10712,GTEX-T6MN-0726-SM-32PML,GTEX,13.19,Normal Tissue,Breast,GTEX: Normal Tissue
10714,GTEX-Q2AI-0426-SM-48U13,GTEX,12.45,Normal Tissue,Pancreas,GTEX: Normal Tissue
10721,GTEX-X4XX-3026-SM-3NMB2,GTEX,9.234,Normal Tissue,Brain,GTEX: Normal Tissue
10723,GTEX-YFC4-0226-SM-57WD2,GTEX,10.27,Normal Tissue,Adipose,GTEX: Normal Tissue
10726,GTEX-111CU-1926-SM-5GZYZ,GTEX,13.08,Normal Tissue,Skin,GTEX: Normal Tissue
10727,GTEX-11TUW-2526-SM-5EQKN,GTEX,10.79,Normal Tissue,Muscle,GTEX: Normal Tissue
10728,GTEX-11GSP-1126-SM-5A5LM,GTEX,12.65,Normal Tissue,Artery,GTEX: Normal Tissue
10729,GTEX-RWS6-0008-SM-47JYV,GTEX,11.57,Cell Line,Cells,GTEX: Cell Line
10730,GTEX-U3ZM-1626-SM-4DXSK,GTEX,11.34,Normal Tissue,Testis,GTEX: Normal Tissue
10731,GTEX-11ONC-3026-SM-5985W,GTEX,9.322,Normal Tissue,Brain,GTEX: Normal Tissue
10734,GTEX-14A5H-0226-SM-5S2VK,GTEX,11.29,Normal Tissue,Artery,GTEX: Normal Tissue
10741,GTEX-UPK5-0726-SM-4IHL7,GTEX,10.75,Normal Tissue,Skin,GTEX: Normal Tissue
10742,GTEX-ZAJG-0526-SM-5S2MT,GTEX,11.21,Normal Tissue,Muscle,GTEX: Normal Tissue
10743,GTEX-12WSJ-1426-SM-5GCON,GTEX,11.23,Normal Tissue,Colon,GTEX: Normal Tissue
10744,GTEX-T6MO-0526-SM-4DM6R,GTEX,13.52,Normal Tissue,Esophagus,GTEX: Normal Tissue
10746,GTEX-SJXC-1126-SM-4DM6Y,GTEX,11.45,Normal Tissue,Artery,GTEX: Normal Tissue
10748,GTEX-13NYB-0426-SM-5IJDD,GTEX,12.79,Normal Tissue,Artery,GTEX: Normal Tissue
10750,GTEX-13CF3-2326-SM-5IFGL,GTEX,9.996,Normal Tissue,Adipose,GTEX: Normal Tissue
10752,GTEX-X261-1726-SM-4PQYT,GTEX,10.53,Normal Tissue,Liver,GTEX: Normal Tissue
10755,GTEX-WFG8-1726-SM-4LVM6,GTEX,11.21,Normal Tissue,Colon,GTEX: Normal Tissue
10756,GTEX-14ICL-0426-SM-5RQJ3,GTEX,12.45,Normal Tissue,Thyroid,GTEX: Normal Tissue
10758,GTEX-OIZG-1026-SM-3LK5X,GTEX,14.44,Normal Tissue,Esophagus,GTEX: Normal Tissue
10759,GTEX-12WSK-1526-SM-5CVNO,GTEX,11.94,Normal Tissue,Small Intestine,GTEX: Normal Tissue
10763,GTEX-11P81-0006-SM-5NQ7A,GTEX,6.431,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10764,GTEX-WXYG-1626-SM-4ONCR,GTEX,12.7,Normal Tissue,Stomach,GTEX: Normal Tissue
10765,GTEX-13113-0526-SM-5GCN2,GTEX,12.92,Normal Tissue,Artery,GTEX: Normal Tissue
10766,GTEX-SIU8-0926-SM-2XCDO,GTEX,10.53,Normal Tissue,Lung,GTEX: Normal Tissue
10768,GTEX-ZVZQ-0011-R3a-SM-57WC7,GTEX,9.934,Normal Tissue,Brain,GTEX: Normal Tissue
10769,GTEX-12696-0005-SM-5LZYS,GTEX,8.43,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10770,GTEX-QDVJ-2026-SM-2S1PD,GTEX,12.43,Normal Tissue,Nerve,GTEX: Normal Tissue
10771,GTEX-12WSL-2026-SM-5GCML,GTEX,12.83,Normal Tissue,Skin,GTEX: Normal Tissue
10772,GTEX-QEG5-1426-SM-447AS,GTEX,13.18,Normal Tissue,Esophagus,GTEX: Normal Tissue
10773,GTEX-ZAB4-0011-R7a-SM-4SOKE,GTEX,10.41,Normal Tissue,Brain,GTEX: Normal Tissue
10778,GTEX-Q734-0526-SM-2I3EH,GTEX,12.57,Normal Tissue,Thyroid,GTEX: Normal Tissue
10779,GTEX-YFC4-0126-101855-SM-5CVLZ,GTEX,13.5,Normal Tissue,Skin,GTEX: Normal Tissue
10781,GTEX-Y8DK-0426-SM-4TT3Q,GTEX,13.69,Normal Tissue,Nerve,GTEX: Normal Tissue
10785,GTEX-ZUA1-0011-R3a-SM-4YCEE,GTEX,9.439,Normal Tissue,Brain,GTEX: Normal Tissue
10787,GTEX-QLQW-0626-SM-447A6,GTEX,11.7,Normal Tissue,Esophagus,GTEX: Normal Tissue
10795,GTEX-XQ3S-0126-SM-4BOO9,GTEX,12.99,Normal Tissue,Artery,GTEX: Normal Tissue
10797,GTEX-Y114-2626-SM-4TT8Y,GTEX,13.19,Normal Tissue,Nerve,GTEX: Normal Tissue
10799,GTEX-139T6-0426-SM-5IJEM,GTEX,12.21,Normal Tissue,Lung,GTEX: Normal Tissue
10802,GTEX-XQ8I-2126-SM-4BOOM,GTEX,13.46,Normal Tissue,Colon,GTEX: Normal Tissue
10803,GTEX-W5X1-1126-SM-5CHTH,GTEX,0.0,Normal Tissue,Esophagus,GTEX: Normal Tissue
10806,GTEX-RNOR-0011-R1A-SM-5SI8F,GTEX,8.826,Normal Tissue,Brain,GTEX: Normal Tissue
10807,GTEX-Y5LM-0326-SM-4VBRN,GTEX,9.403,Normal Tissue,Spleen,GTEX: Normal Tissue
10808,GTEX-13JVG-0011-R11a-SM-5KM53,GTEX,8.571,Normal Tissue,Brain,GTEX: Normal Tissue
10813,GTEX-139TT-0011-R7b-SM-5J2MN,GTEX,10.16,Normal Tissue,Brain,GTEX: Normal Tissue
10817,GTEX-14BMU-1226-SM-5S2OR,GTEX,12.97,Normal Tissue,Skin,GTEX: Normal Tissue
10820,GTEX-ZV7C-1826-SM-5NQ83,GTEX,12.28,Normal Tissue,Breast,GTEX: Normal Tissue
10822,GTEX-O5YV-2026-SM-26GMK,GTEX,8.939,Normal Tissue,Muscle,GTEX: Normal Tissue
10823,GTEX-TMMY-0926-SM-4TT1Z,GTEX,12.26,Normal Tissue,Lung,GTEX: Normal Tissue
10825,GTEX-YBZK-0226-SM-59HLO,GTEX,11.9,Normal Tissue,Artery,GTEX: Normal Tissue
10827,GTEX-XBEW-1926-SM-4SOJO,GTEX,13.09,Normal Tissue,Colon,GTEX: Normal Tissue
10832,GTEX-14E6E-2226-SM-5SI6F,GTEX,12.86,Normal Tissue,Nerve,GTEX: Normal Tissue
10839,GTEX-11P81-2326-SM-59875,GTEX,13.73,Normal Tissue,Skin,GTEX: Normal Tissue
10841,GTEX-WZTO-0001-SM-4PQZY,GTEX,9.004,Cell Line,Cells,GTEX: Cell Line
10842,GTEX-13PL6-0011-R5b-SM-5O9BI,GTEX,11.07,Normal Tissue,Brain,GTEX: Normal Tissue
10843,GTEX-TMZS-0006-SM-3DB8G,GTEX,8.691,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10844,GTEX-PX3G-0008-SM-48U2L,GTEX,10.89,Cell Line,Cells,GTEX: Cell Line
10848,GTEX-132AR-1026-SM-5PNVL,GTEX,10.75,Normal Tissue,Muscle,GTEX: Normal Tissue
10850,GTEX-WZTO-0826-SM-3NM8Q,GTEX,10.85,Normal Tissue,Muscle,GTEX: Normal Tissue
10851,GTEX-Y9LG-0726-SM-4VDS3,GTEX,12.61,Normal Tissue,Pancreas,GTEX: Normal Tissue
10854,GTEX-145MF-2726-SM-5O995,GTEX,9.414,Normal Tissue,Brain,GTEX: Normal Tissue
10856,GTEX-13G51-2926-SM-5IJDL,GTEX,12.06,Normal Tissue,Artery,GTEX: Normal Tissue
10857,GTEX-13O61-0005-SM-5O9AU,GTEX,7.373,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10858,GTEX-WL46-2026-SM-3LK7U,GTEX,11.24,Normal Tissue,Adipose,GTEX: Normal Tissue
10859,GTEX-13NYS-0011-R5a-SM-5MR4D,GTEX,11.29,Normal Tissue,Brain,GTEX: Normal Tissue
10860,GTEX-O5YT-0826-SM-3TW8N,GTEX,11.28,Normal Tissue,Liver,GTEX: Normal Tissue
10863,GTEX-WYVS-1326-SM-4ONCQ,GTEX,11.65,Normal Tissue,Stomach,GTEX: Normal Tissue
10865,GTEX-11O72-0526-SM-5Q5AO,GTEX,12.2,Normal Tissue,Nerve,GTEX: Normal Tissue
10867,GTEX-YEC3-1726-SM-5IFIK,GTEX,11.4,Normal Tissue,Testis,GTEX: Normal Tissue
10868,GTEX-1192X-0326-SM-5H11U,GTEX,13.11,Normal Tissue,Nerve,GTEX: Normal Tissue
10869,GTEX-13PVQ-2126-SM-5L3FW,GTEX,11.66,Normal Tissue,Stomach,GTEX: Normal Tissue
10871,GTEX-11WQK-0011-R10a-SM-5BC6R,GTEX,9.799,Normal Tissue,Brain,GTEX: Normal Tissue
10872,GTEX-1212Z-0526-SM-5FQSQ,GTEX,11.8,Normal Tissue,Adipose,GTEX: Normal Tissue
10875,GTEX-11OF3-0726-SM-5BC4Z,GTEX,12.21,Normal Tissue,Liver,GTEX: Normal Tissue
10877,GTEX-13O3Q-0011-R5b-SM-5P9H4,GTEX,10.34,Normal Tissue,Brain,GTEX: Normal Tissue
10878,GTEX-X4XY-0011-R10B-SM-46MWS,GTEX,8.729,Normal Tissue,Brain,GTEX: Normal Tissue
10881,GTEX-12WSK-0426-SM-5GCNS,GTEX,12.64,Normal Tissue,Artery,GTEX: Normal Tissue
10882,GTEX-13FXS-0011-R11a-SM-5L3DM,GTEX,8.175,Normal Tissue,Brain,GTEX: Normal Tissue
10883,GTEX-WEY5-2026-SM-5SI8D,GTEX,9.824,Normal Tissue,Muscle,GTEX: Normal Tissue
10884,GTEX-13QBU-2326-SM-5LU49,GTEX,13.22,Normal Tissue,Nerve,GTEX: Normal Tissue
10894,GTEX-145MO-2826-SM-5LU96,GTEX,13.16,Normal Tissue,Skin,GTEX: Normal Tissue
10895,GTEX-11EQ9-0926-SM-5HL6I,GTEX,11.69,Normal Tissue,Esophagus,GTEX: Normal Tissue
10897,GTEX-WH7G-0726-SM-3NMBM,GTEX,12.15,Normal Tissue,Lung,GTEX: Normal Tissue
10899,GTEX-11TT1-1726-SM-5EQLJ,GTEX,10.19,Normal Tissue,Liver,GTEX: Normal Tissue
10900,GTEX-12WSN-2326-SM-5DUVG,GTEX,13.14,Normal Tissue,Skin,GTEX: Normal Tissue
10902,GTEX-ZDTT-1126-SM-4WKFW,GTEX,11.97,Normal Tissue,Pancreas,GTEX: Normal Tissue
10906,GTEX-QEG4-0926-SM-4R1JO,GTEX,12.93,Normal Tissue,Artery,GTEX: Normal Tissue
10908,GTEX-Q734-2026-SM-3GADA,GTEX,11.0,Normal Tissue,Muscle,GTEX: Normal Tissue
10910,GTEX-147JS-1126-SM-5RQIW,GTEX,10.96,Normal Tissue,Liver,GTEX: Normal Tissue
10914,GTEX-Y8E4-1126-SM-5IFIA,GTEX,13.08,Normal Tissue,Artery,GTEX: Normal Tissue
10915,GTEX-12ZZX-1726-SM-5BC63,GTEX,9.89,Normal Tissue,Adipose,GTEX: Normal Tissue
10918,GTEX-OXRP-2326-SM-2S1NL,GTEX,11.2,Normal Tissue,Muscle,GTEX: Normal Tissue
